video,seconds,fps,numFrame,rfps,subset,featureFrame
heUm-SnCGL8,103,30,3090,30,training,3090
unm99_HjbpE,104,29,3016,29,training,3016
gR1Ia9o8sOE,122,29,3538,29,training,3538
SO5fNwB7moA,103,23,2369,23,training,2369
gqhieDBIlMU,103,24,2472,24,training,2472
6gPD38IrUXk,101,30,3030,30,training,3030
a2pA0CVGhkg,127,23,2921,23,training,2921
nOCsgqMWess,101,30,3030,30,training,3030
4aG1uw5_ejQ,101,29,2929,29,training,2929
0x4JGJazIGU,108,30,3240,30,testing,3240
d1vt2-ngOyI,107,29,3103,29,training,3103
u-rqAQlHXCg,101,30,3030,30,training,3030
x74k18mvdS0,102,30,3060,30,testing,3060
_riP6hNX5co,101,17,1717,17,training,1717
yc8ZiyweAF0,190,25,4750,25,training,4750
BskGGgPtgQk,120,30,3600,30,training,3600
ApJ3fliOtyI,103,30,3090,30,training,3090
Zf_cT9Vpsg0,109,29,3161,29,training,3161
_HaFv9F4kiM,124,29,3596,29,training,3596
oPB8g5xDSEA,101,15,1515,15,validation,1515
AXxKLk97CqM,102,12,1224,12,training,1224
l6ZHfj1wI3w,102,29,2958,29,training,2958
epx6LVygpbI,121,28,3388,28,training,3388
56e07rAG718,106,30,3180,30,validation,3180
04ikWhqzIOc,102,29,2958,29,testing,2958
eGLI6xQ-Yf4,130,29,3770,29,training,3770
av4yh4PiHw8,101,15,1515,15,validation,1515
3V6L2RBCtRE,104,25,2600,25,training,2600
JYKPdKGVcBo,103,29,2987,29,training,2987
KGNLJB8Zg2E,102,29,2958,29,training,2958
g6dKlOpGkF0,102,29,2958,29,training,2958
PMsRCvxIy0M,111,29,3219,29,training,3219
GvpNQPhFGNE,103,29,2987,29,training,2987
mmlJjkAjNKQ,102,29,2958,29,training,2958
f1SqhPelhB4,103,30,3090,30,testing,3090
kMyp91i7zSI,103,29,2987,29,training,2987
lQv-Q2r7c-o,113,29,3277,29,validation,3277
UhgSIqmyqfo,230,25,5750,25,training,5750
muRPquCjh7A,106,25,2650,25,training,2650
BGCdJ2y9olU,103,24,2472,24,validation,2472
2VN_vMpqWaM,107,30,3210,30,training,3210
u6ARPlpAvVY,103,30,3090,30,training,3090
nfvzmZQd7OM,105,29,3045,29,training,3045
eoNvdfVmL8U,104,30,3120,30,training,3120
rBt_cWcFsqw,103,29,2987,29,training,2987
_5VqtrtrS_c,123,30,3690,30,training,3690
ekMgIoh3RuA,112,29,3248,29,training,3248
Esk28pvT-B0,115,25,2875,25,training,2875
mplQlaV2cJ4,103,25,2575,25,validation,2575
f1aHY1BKEV4,114,29,3306,29,training,3306
-sn8SFV8IaQ,104,30,3120,30,training,3120
-JI3i8q-utA,104,25,2600,25,training,2600
Fx70-uvwyNw,105,30,3150,30,training,3150
MixC56kZYh0,104,30,3120,30,training,3120
CUWcDjbCY90,114,25,2850,25,validation,2850
nJqT8CHnP_w,104,27,2808,27,training,2808
f_KPmxBcb1c,109,30,3270,30,training,3270
vUeqe6-puaU,105,25,2625,25,training,2625
3kYHKMr4_WM,104,30,3120,30,training,3120
pOOmWDFCmhg,104,29,3016,29,validation,3016
iz_kQyPKWBo,106,30,3180,30,training,3180
Qvd13NhAUgI,104,30,3120,30,training,3120
DTfsqkYt-Xg,104,23,2392,23,training,2392
_EvAN7DyBrI,105,30,3150,30,training,3150
ZRlUs4vApgk,105,29,3045,29,validation,3045
FxPZyYRCRsw,105,29,3045,29,validation,3045
qJV0O4lOhRU,131,29,3799,29,training,3799
HNbqvqf3-14,112,25,2800,25,training,2800
IIxSJh5ckLs,105,30,3150,30,training,3150
42LAebGLUls,105,30,3150,30,training,3150
UPpRTOFkLGE,105,29,3045,29,training,3045
rT6Xq1Dyr1c,108,30,3240,30,training,3240
SB1eANSjHnc,106,30,3180,30,training,3180
4_5bus3LYZQ,108,30,3240,30,training,3240
YyYrf-0wj9Q,105,25,2625,25,testing,2625
cFzr39-9uCw,165,29,4785,29,validation,4785
HjIanyYUOCY,105,23,2415,23,training,2415
30q-x1QemRI,114,29,3306,29,training,3306
DA556NOKnGI,194,25,4850,25,validation,4850
eKcLLKHozVg,105,29,3045,29,training,3045
kewNRsI6508,120,30,3600,30,training,3600
EYJU_1ppGzo,106,29,3074,29,training,3074
Rv6Y0nslXtk,106,30,3180,30,testing,3180
mCS6llq_7s0,106,29,3074,29,training,3074
pvg2MImyjoE,106,25,2650,25,validation,2650
H4E77jkWpeo,106,30,3180,30,training,3180
oCj7bO-iSyg,106,24,2544,24,testing,2544
sr1lq42SJ6w,134,29,3886,29,validation,3886
Aw50yOJd_T4,343,25,8575,25,training,8575
4dqO0sVpeKY,106,29,3074,29,validation,3074
zJ-7tihTKwU,215,30,6450,30,training,6450
1kZW8e79Bm0,270,29,7830,29,training,7830
ztMS-yt-HJ8,106,25,2650,25,training,2650
h2UJElT9wzg,106,29,3074,29,training,3074
QIlonTnzOj0,106,29,3074,29,training,3074
g55uKQwW-H4,106,25,2650,25,training,2650
WJZrxNxbpXA,106,23,2438,23,training,2438
_vbuqg6Icys,106,30,3180,30,training,3180
GKno3jcvHY8,106,29,3074,29,training,3074
kSfXbmtEtTw,116,30,3480,30,training,3480
jX_qsfxg-jg,107,29,3103,29,training,3103
_kDJxweDfIw,107,25,2675,25,training,2675
wLuuiRIvm6M,215,30,6450,30,training,6450
NXnq7TdHKmw,107,29,3103,29,training,3103
qSEeteS6Fbc,107,30,3210,30,training,3210
z6P6Bd9nvFM,109,29,3161,29,training,3161
jANhRfG2s-M,107,29,3103,29,testing,3103
jPOwdd6oZjE,107,29,3103,29,validation,3103
Z2OfidnJ3xk,107,25,2675,25,training,2675
VG22YcH2G90,107,29,3103,29,training,3103
BTal5TM9ljA,107,29,3103,29,training,3103
XoUkGaAUWc0,107,29,3103,29,training,3103
synZMobKkNc,107,29,3103,29,training,3103
Up9CYBHuLLI,107,30,3210,30,training,3210
yuTRO0d_vZ0,128,29,3712,29,validation,3712
xrHW3iZ_MDw,107,29,3103,29,validation,3103
maAIEq7yxP8,112,25,2800,25,training,2800
HVHvqGNPakM,134,30,4020,30,training,4020
wgQX3Fs7yGE,107,25,2675,25,training,2675
guLKsc4Q7y4,107,25,2675,25,training,2675
r4_8IgWCRRg,108,30,3240,30,training,3240
Zcu_stWtQFk,230,30,6900,30,training,6900
vxOo1smr7T8,109,23,2507,23,testing,2507
WwWz52baSV4,108,29,3132,29,training,3132
TLA-aeWn5U0,147,29,4263,29,training,4263
RiePh0pusLs,107,29,3103,29,validation,3103
VDoTPMvqIxM,108,29,3132,29,training,3132
CRIisZyom8w,116,24,2784,24,validation,2784
o1n50V_9VXs,108,30,3240,30,training,3240
Smar6GnN0ew,108,29,3132,29,training,3132
6v1UclNnkKM,108,29,3132,29,training,3132
G9teqZd7ZA4,113,29,3277,29,training,3277
X4y3mVM8b3Q,120,30,3600,30,training,3600
iRJ7vOdK0m8,108,30,3240,30,training,3240
g2IVvjOpUdE,108,29,3132,29,training,3132
qRB41nNSmQc,131,29,3799,29,training,3799
i7_l_FdIuLs,108,29,3132,29,training,3132
gscJthqttZM,112,23,2576,23,training,2576
DQ5qBjjaWN8,398,30,11940,30,training,11940
_9DIAL5NreM,108,25,2700,25,training,2700
pOC1EzOpHFc,108,30,3240,30,testing,3240
0xotJJGryyc,108,29,3132,29,validation,3132
ZsSOf13lLX8,108,29,3132,29,training,3132
jOwnYifi2HY,121,25,3025,25,validation,3025
n49M3Qti3Ss,119,29,3451,29,training,3451
hwYcpsbjkZ8,108,29,3132,29,training,3132
nYh0Xuf7naw,111,30,3330,30,training,3330
gk7shHKoQPY,109,24,2616,24,validation,2616
POOICOt5jY4,125,30,3750,30,testing,3750
EaYXTAUTDws,112,29,3248,29,testing,3248
DLTr-ZGBHmY,109,25,2725,25,training,2725
kGIH7zcncxU,109,29,3161,29,training,3161
J6gtcNCuJxU,109,29,3161,29,validation,3161
E12ZGLzciEY,109,30,3270,30,training,3270
01u_ilr2XqM,109,29,3161,29,training,3161
AFWegh9WQDI,109,25,2725,25,training,2725
XvtiqXrARZ8,111,30,3330,30,training,3330
L6pq3HHmHsE,111,30,3330,30,training,3330
Ok048mpdRrI,189,30,5670,30,validation,5670
kKTqq2_fgns,109,30,3270,30,training,3270
JgXs55IcmTU,109,30,3270,30,training,3270
YXw7bh6iJhM,119,23,2737,23,testing,2737
XqnEis_eZ8Q,11,30,330,30,training,330
i5n0R0c_5iw,11,30,330,30,training,330
EKipfpifEis,11,30,330,30,training,330
efGP08-6NEE,78,29,2262,29,validation,2262
ATRWAyowWdE,11,23,253,23,validation,253
40PUUGXwK3k,10,30,300,30,training,300
XqosM-Ty-pc,10,30,300,30,training,300
Tm3oj3bLH90,17,29,493,29,training,493
oLaqR3v-nmo,26,29,754,29,training,754
-Pzl2QCNCfQ,13,29,377,29,validation,377
sqRAyiLsWO4,11,29,319,29,validation,319
M0n8zbtQO8k,11,30,330,30,training,330
yFxS7AfCGyw,11,29,319,29,training,319
8KD5xkip5lU,11,30,330,30,training,330
vKl54kR1_RY,12,29,348,29,training,348
hlw30DSzDpA,14,29,406,29,training,406
WaQihwNQC-I,88,29,2552,29,training,2552
PjLHXjyNK_c,11,29,319,29,training,319
qCcgafSRFZM,11,30,330,30,training,330
CkhrKz1gbjQ,309,30,9270,30,validation,9270
0ESiKUD9Ve4,11,30,330,30,testing,330
eBzLIOuDXpk,11,29,319,29,validation,319
B9FAQgIw4Jk,11,29,319,29,training,319
ADZ5mJaCfPY,19,30,570,30,training,570
qH2taNIcjUY,11,30,330,30,training,330
Rmay34xFxaQ,11,30,330,30,training,330
Ew08QqpuNKg,11,30,330,30,training,330
kZuvpZlaNtQ,72,25,1800,25,training,1800
k7ogBQXhxfw,11,25,275,25,training,275
F3JTckwUk8U,11,29,319,29,training,319
Sch62hGv0cA,12,25,300,25,training,300
qW5CMG6u7o4,11,30,330,30,training,330
5Q8HYTSd5TI,23,29,667,29,training,667
iZCyWBOZuJU,11,29,319,29,training,319
z3uejqw5gwI,11,30,330,30,validation,330
49IMC64N4-k,11,29,319,29,training,319
Idfetw9Db8U,12,29,348,29,training,348
jl0pMqvT9WM,49,29,1421,29,training,1421
ImJJ4WPD_NE,53,30,1590,30,training,1590
QiYhpub4paY,13,30,390,30,training,390
3ekx9crPz04,11,30,330,30,training,330
sThFNb0pR14,11,25,275,25,training,275
GSC4Gy2TThY,12,30,360,30,validation,360
MWlPR79iKXo,20,30,600,30,training,600
9UUYpUU6IUY,13,29,377,29,validation,377
CvqipS2k1I4,11,12,132,12,training,132
hL-swPeLEzc,11,29,319,29,validation,319
rlTfIDzuYOU,11,30,330,30,training,330
1XOJjPxjhGY,10,30,300,30,training,300
TSdEQ2oR4g8,11,30,330,30,training,330
dKwfke9YH_k,11,29,319,29,training,319
QSgkMlwledU,10,24,240,24,training,240
6t0WvWR9KbQ,11,14,154,14,testing,154
_6PVn6G5ym4,11,30,330,30,validation,330
xov2-nEag7E,49,30,1470,30,testing,1470
3IzJYov4vqg,32,30,960,30,training,960
0tvXq9Th04I,11,29,319,29,training,319
FuCX6RicDNg,11,29,319,29,validation,319
o4q-HAEc2f0,11,30,330,30,training,330
Qf6m13LsFo0,11,29,319,29,training,319
xqyRN0KGy9c,11,30,330,30,validation,330
eSKn6oRbUxI,16,30,480,30,validation,480
FZw0aVaf-ak,11,25,275,25,training,275
uccLw_ALGyg,11,25,275,25,training,275
R4RDBU6rzv4,30,30,900,30,training,900
ltooeELe94Q,11,30,330,30,training,330
92SkPF9aoN4,11,25,275,25,training,275
a6-4exE7kbI,11,30,330,30,testing,330
MhdGM1v0v10,11,29,319,29,training,319
numa8iCNH60,18,30,540,30,testing,540
VTph8N4WJCQ,11,25,275,25,training,275
eO3KH-AxfNQ,11,30,330,30,validation,330
BUztvEAslHE,11,30,330,30,training,330
ZaKdWqbz9vc,10,29,290,29,training,290
mWZkBKm9x3Y,11,30,330,30,training,330
_WfNsaUfaLg,11,24,264,24,training,264
DmzsxKwxTI0,15,30,450,30,validation,450
9lX0BucJsmY,12,30,360,30,validation,360
x83PrsPPLfM,11,29,319,29,training,319
QNg7uVGemYg,11,30,330,30,training,330
v85CNJ5w_0g,11,30,330,30,training,330
AO5nh8jdvu8,13,25,325,25,training,325
JCTY5eMM8mk,11,29,319,29,training,319
1IBbZBmMAlY,11,29,319,29,training,319
HvWsg2InUq4,11,29,319,29,training,319
2oIZfoQ-hQI,15,30,450,30,training,450
muzzIcibGMo,33,29,957,29,training,957
RHf4-6wXLC4,59,30,1770,30,training,1770
uwlIXSN4FpA,14,30,420,30,training,420
H1kBuWZAQ7U,11,29,319,29,training,319
RQhLPu4sU0E,11,30,330,30,training,330
Ev-3WiTC_34,11,23,253,23,training,253
Ard1_0Zh2Eo,11,30,330,30,training,330
IJAuj-t5fes,11,29,319,29,validation,319
4WoEZV2I-oc,17,30,510,30,training,510
WqGPhf_nv0E,60,30,1800,30,training,1800
B2Hvp45rbEE,11,29,319,29,training,319
OCDwny-R3JE,11,30,330,30,training,330
DkJoMc4vOAQ,16,30,480,30,training,480
CNXe2gdaNDs,200,30,6000,30,testing,6000
ll8BznaO9WM,72,30,2160,30,training,2160
dwX5ksMZcTs,11,25,275,25,training,275
R-J6EVEBG6I,11,29,319,29,training,319
kxrzWH7Ps-w,19,30,570,30,testing,570
vXQ-qij128g,11,30,330,30,training,330
hqWlmgVVOLg,11,29,319,29,training,319
L7r87Jn3gI8,11,30,330,30,validation,330
FUBkYbAribo,14,29,406,29,validation,406
mJ7Zm-Bqk4I,42,30,1260,30,training,1260
umEeg2dQjB4,11,30,330,30,training,330
DO4s54yrkUc,11,29,319,29,validation,319
C2LpXq7Mwzk,11,29,319,29,validation,319
pILCXY78qQA,11,25,275,25,training,275
4MJu_HT5MeU,48,29,1392,29,training,1392
BZw20zVAGbg,12,25,300,25,testing,300
Qsbm3HT6zP0,11,25,275,25,training,275
pDIuIha5UOU,11,30,330,30,training,330
DKBc42vUP_M,14,29,406,29,training,406
8EOahoooSho,11,29,319,29,validation,319
hr-EBkvufUo,11,29,319,29,training,319
FIJX6w1ONQw,11,29,319,29,training,319
D8TR9kczpwQ,11,30,330,30,training,330
VircdauePLM,11,30,330,30,training,330
gOVx49MKZN8,11,30,330,30,testing,330
vU9kDfqMhJw,11,30,330,30,training,330
QkXOyp8DON8,20,30,600,30,training,600
UcAMcsoJ4ic,24,30,720,30,training,720
uXTawtZ7q1I,11,30,330,30,training,330
bQUfKXRHBH4,11,30,330,30,training,330
MNH5jYoF9Qc,20,29,580,29,training,580
9jzuSq1v0tc,11,30,330,30,training,330
oJpu6PYulF8,14,30,420,30,training,420
4mljF-6Qi6A,11,23,253,23,training,253
9j_VK2VMyjg,11,30,330,30,validation,330
QohIgqhTrGk,11,30,330,30,training,330
-ivHEiRp6o4,11,30,330,30,training,330
Jw6UAC2DaRw,11,29,319,29,training,319
txD362mB7r8,19,30,570,30,training,570
eltgK5qikLE,16,12,192,12,validation,192
ajIR7sStecA,11,30,330,30,training,330
zC00TiqM_VA,11,15,165,15,training,165
lyupuTkVmL8,11,25,275,25,training,275
aTMCHp7hN9w,11,25,275,25,training,275
_kMuYOdmFzE,11,30,330,30,validation,330
gAQE2l3h-H8,13,24,312,24,training,312
G9NQTCbdGCc,11,30,330,30,training,330
wnD02LgFMbk,11,29,319,29,training,319
P1-CoTXHhXM,29,30,870,30,training,870
r4pnQ3zBU9M,12,30,360,30,validation,360
GrBlfkLtfxY,11,29,319,29,training,319
Ov7t37kQpS4,36,29,1044,29,training,1044
fQLVzsHua7o,29,29,841,29,training,841
